genotype;genus;rye;total.amp.a;n.genes.a;freq.genes.a;n.pg.a;freq.pg.a;total.amp.g;n.genes.g;freq.genes.g;n.pg.g;freq.pg.g;total.epi.genes.a;total.p31_43.genes.a;total.a1a.genes.a;total.a1b.genes.a;total.a2.genes.a;total.a3.genes.a;total.dq33.genes.a;total.g.epi.g;total.g.g2a.g;total.g.g4e.g;total.g.w1.g;total.g.g4d.g;total.g.g4b.g;total.g.g1.g;total.g.g5.g;total.g.g4c.g;total.g.g3.g;total.g.g4a.g;total.g.g2b.g;total.g.hor2.g;p31_L;DQ2.5_glia_a1a;DQ2.5_glia_a1b;DQ2.5_glia_a2;DQ2.5_glia_a3;DQ2.5_33;type_1.1-1;type_1.1-2;type_1.2-4;type_1.3-6;DQ2.5_glia_g2a;DQ2.5_glia_g4e;DQ2.5_glia_w1;DQ2.5_glia_g4d;DQ2.5_glia_g4b;DQ2.5_glia_g1;DQ2.5_glia_g5;DQ2.5_glia_g4c;DQ2.5_glia_g3;DQ2.5_glia_g4a;DQ2.5_glia_g2b;DQ2.5_hor_2;DQ2.5_glia_g4b;DQ2.5_glia_g4c;Total_ab_alpha;Total_ab_gamma;Total_ab_sec;Omega;Alpha;Gamma;HMW;LMW;Total_gliadins;Total_glutenins;Prolamins;Gli_Glu;Variant_0;Variant_1_original;Variant_1_var;Variant_2_original;Variant_2_var;Variant_4;Variant_6;Variant_1;Variant_2;Variant_3;Variant_4;Variant_5;Variant_6;Variant_7;Variant_8;Variant_9;Variant_10;Variant_11;Variant_12;Variant_13;Variant_14;Variant_15;Variant_16;Variant_17;Variant_18;Variant_19;Variant_20;Variant_21;Variant_22;Variant_23;Variant_24;Variant_25;Variant_26;Variant_27;alpha_0;alpha_1;alpha_2;alpha_3;alpha_4;alpha_5;alpha_7;p31_43;gamma_0;gamma_3;gamma_4;gamma_5;gamma_6;gamma_7;gamma_9;gamma_10;gamma_11;gamma_12;gamma_13;gamma_14
ACA201;BW;N;23;22;88.38;1;11.65;18;17;95.5;1;4.52;55;6;12;5;12;9;29;127;13;5;1;2;7;15;17;58;4;1;4;0;29;50.1;15.79;42.67;31.38;108.54;23.2;12.6;12.8;1.5;27.12;25.48;4.33;11.62;21.29;92.07;52.96;220.64;57.52;15.05;57.52;0;0;0;168.9;533;0;12.00376619;24.33966119;21.54660048;11.6977898;26.32644982;57.89002787;38.02423961;95.91426748;1.666706176;48207;3.5;21;12218.5;22320;12241;1403.5;8843.5;3407;458.5;3394;0;15393;0;0;0;329;5279;4290.5;41533;0;0;0;0;0;0;0;7304.5;329.5;4500;4317;0;406;0;38.3;6.23;16.98;12.55;12.47;0.38;1.47;28.99;0;0.33;0;57.79;4.63;22.79;3.42;0.41;0.46;5.26;0.41;0
ACA202;BW;N;25;23;88;2;11.97;16;14;98.79;2;1.22;59;6;13;5;13;10;31;112;11;4;3;2;6;14;12;50;4;2;4;0;28.2;49.7;15.59;42.95;31.28;108.21;22.3;13.2;12.7;1.5;20.68;28.14;4.38;9.78;27.15;98.25;61.48;206.14;53.65;23.77;53.65;0;0;0;167.6;538.25;0;10.52559529;22.64792055;29.88066325;12.25779393;23.18098373;63.0541791;35.43877767;98.49295676;2.082679759;48374.5;4.5;16;12624.5;21415.5;12069.5;1398;22073.5;0;322;384.5;90.5;24231;511;3508;0;2776;4467.5;32;30079.5;0;0;0;0;0;0;0;6236.5;85.5;0;3838;0;662;413;38.34;6.16;16.14;13.23;12.24;0.43;1.46;28.14;0;0.42;3.54;58.44;2.8;28.13;0;0;0.32;4.47;0.67;0
ACA321;BW;N;29;24;79.87;5;20.08;20;16;92.11;4;7.89;49;6;10;3;8;11;21;150;15;5;2;3;9;15;20;66;7;1;7;0;16.7;29.6;10.89;26.63;19.42;67.08;13.8;7.2;6.3;2.3;23.86;15.68;3.26;9.33;14.38;90.14;37.5;206.76;65.5;11.5;65.5;0;0;0;103.2;503.87;0;8.862173064;25.79818229;19.51581572;15.52938975;29.60757407;54.17617107;45.13696382;99.3131349;1.276390955;68017.5;4.5;10;7011;13488;6447;2221;8258.5;1973.5;521.5;1963.5;0;12498;0;0;25;137.5;3691.5;0;53647;0;0;0;0;0;0;0;8973.5;81.5;3524;329;3244;834;78;50.32;3.88;9.94;7.15;6.27;0;2.31;16.66;0;0;0;68.38;0;13.81;4.9;0;0.52;3.66;0.84;0
ACA903B;BW;Y;31;25;78.96;6;21.07;13;10;91.65;3;8.31;55;5;10;5;10;11;25;54;7;3;0;1;2;7;7;23;1;1;1;1;17.6;29;8.31;22.58;20.22;59.91;14.7;7.7;4.7;1.8;46.36;44.16;0;11;21.65;88.82;87.83;204.2;32.3;32.3;32.3;0.36;0.36;0.36;97.8;602;1.08;12.88959884;26.96866563;25.58983428;15.24873403;20.34894406;65.44809875;35.59767809;101.0457768;2.000726324;68318;2;11.5;7774.5;14285.5;4991;1708.5;21365;0;1665;0;0;31882.5;0;0;0;11467;10018;0;0;358.5;2185;0;1765;792;0;264;10837.5;358.5;5638.5;0;0;0;0;49.99;4.06;10.66;7.73;4.74;0;1.78;17.59;2.48;0.72;0;32.65;11.65;32.3;0;0;1.69;10.16;0;0
Antequera;BW;N;33;27;80.71;6;19.28;16;12;92.05;4;7.97;62;6;12;5;12;12;29;116;12;5;2;2;5;13;14;50;6;1;6;0;17.4;31.3;10.77;27.47;19.97;69.58;14.7;7.4;7.7;1.5;27.28;20.57;7.92;7.92;18.42;92.05;46.64;218.28;51.25;15.15;51.25;0;0;0;106.9;508.88;0;15.0142058;34.43923828;27.27774628;10.24698116;19.97975832;76.73119035;30.22673948;106.9579298;2.538520253;66387;4.5;13;7419;14275.5;7443.5;1470;13742;0;461.5;178;38;15841.5;106;2663.5;0;9312.5;4938;0;35806.5;0;0;0;0;0;0;0;4362.5;571.5;3742;3598;3317;909.5;0;49.36;3.94;10.71;7.44;7.44;0.29;1.53;17.35;0;0.58;2.69;49.97;9.4;23.07;0;0;0.47;4.95;0.92;0
ANZA;BW;N;29;24;79.63;5;20.35;15;12;93.67;3;6.31;60;5;11;6;12;12;29;109;12;3;2;3;7;13;11;47;5;1;5;0;18.4;30.2;8.79;23.48;20.81;62.48;15.5;7.6;5.3;1.7;21.49;22.48;2.94;6.34;21.79;93.67;47.59;200.25;60;18.8;60;0;0;0;101.7;511.38;0;6.971578339;24.09334137;19.91866758;6.957926085;12.11847734;50.98358729;19.07640343;70.05999072;2.782165835;67929;4.5;19.5;7679;15105.5;5302.5;1688;16476;0;231;1639;0;19485;123;0;0;4738.5;3680.5;0;40697;0;0;0;0;0;0;0;5954;174;3130;335.5;2388;551;188.5;49.46;4.38;11.11;7.65;5.01;0.27;1.75;18.42;0;0;0;61.23;4.8;20.8;2.6;0;0;3.68;0.56;0
ARAGON03;BW;N;42;30;75.01;12;24.95;21;17;93.01;4;6.96;83;18;19;3;8;24;30;144;14;5;2;2;8;17;18;64;6;2;6;0;27.7;37.5;5.91;16.03;34.55;59.48;27.4;5.1;4.2;0.9;25.57;23.14;4.39;9.42;17.65;89.36;56.34;215.15;57.3;17.59;57.3;0;0;0;121.7;524.5;0;12.817111;40.68607153;34.05340656;8.816011303;21.49419402;87.5565891;30.31020532;117.8667944;2.890602559;48180.5;2508;5347.5;4879;30540;4290;812;11369.5;3608;307.5;260;33.5;18742.5;0;2919;0;307.5;5625;0;39762.5;0;0;0;0;0;0;0;5653;60.5;4808;4361;0;1537.5;285;36.26;1.21;27.41;5.07;4.2;0;0.86;27.68;0;0.29;2.94;56.48;0.31;21.95;3.64;0;0.31;5.54;1.55;0
ArturNick;BW;N;43;30;75.05;13;24.99;21;17;91;4;8.96;84;18;20;3;8;24;31;156;16;5;2;3;9;16;20;70;7;1;7;0;28.6;36.8;5.51;14.62;35.2;56.97;27.7;4.9;2.9;1.3;26.19;17.23;3.11;8.02;16.13;89.09;43.94;209.48;62.15;11.65;62.15;0;0;0;120.8;505.72;0;6.330839894;26.23455914;17.53231511;8.037162097;15.07605446;50.09771414;23.11321655;73.2109307;2.207296921;48348.5;2488.5;5514.5;4777.5;31110.5;3013;1265;9923.5;1910;434.5;1955.5;0;13133;0;0;0;325.5;5173.5;0;50277;0;0;0;0;0;0;0;7521;139.5;4241;460.5;3160;1083.5;166.5;36.97;1.23;27.74;4.92;2.86;0;1.33;28.62;0;0;0;65.37;0.33;14.07;4.56;0;0.44;5.14;1.09;0
Aucan;HT;N;32;20;71.96;12;28.11;10;5;75.38;5;24.62;48;13;12;0;1;16;13;78;8;2;1;0;6;8;6;35;6;0;6;0;31.2;22.2;0;0.72;23.27;22.9;21.5;0.7;0;0;10.98;0;0;0;4.46;75.38;2.89;169.82;67.3;0;67.3;0;0;0;77.4;387.15;0;7.037859535;34.89197261;24.651743;7.436014315;19.91443778;66.58157514;27.35045209;93.93202723;2.436288402;60395.5;2847.5;6116.5;709;26116;17.5;1;0;0;0;2996.5;9931;5426;0;0;0;3617;20;0;67086.5;0;0;0;0;0;0;0;5998;0;0;0;3188.5;1439.5;0;48.69;1.09;21.46;0.72;0;0;0;31.19;0;0;0;67.3;3.62;3.01;0;0;0;0;1.45;0
Baquette9;BW;N;38;30;80.28;8;19.75;21;17;95.23;4;4.77;85;18;20;5;11;21;36;148;14;5;3;2;9;18;16;67;6;2;6;0;36.5;50.4;8.94;23.07;45.91;82.38;36.2;6.7;5.8;1.6;42.24;20.62;4.49;10.7;25.88;95.08;49.46;246.39;42.85;13.93;42.85;0;0;0;164.7;531.63;0;8.834594568;24.67561612;13.33209046;10.9941507;22.05451228;46.84230115;33.04866299;79.89096413;1.436446456;34578;3261;6557.5;6503.5;38127;5945;1485;11906;0;397;256;28;15059;197.5;3531.5;7760;8791;6641.5;0;28973;0;0;0;0;0;0;0;6810.5;277.5;0;4287;2919;1639;278.5;28.54;1.36;36.24;6.75;5.83;0;1.56;36.45;0;0.56;3.56;47.39;8.88;26.22;0;0;0.4;6.57;1.65;0
